text,comment
سلام ... منم سال بعد کنکور دارم .. از تابستون دهم شروع کردم برای کنکور هدفم دانشگاه فرهنگیان هست ..خیلی از الان استرس دارم .. میشه بگید درصد درس‌ها در برای دانگشاه فرهنگیان باید چند بزنم؟,1
نمیشه گفت دقیق..فقط تلاش کن و مفهومی بخون بستگی به خیلی چیزا داره...,0
سلام. من به عنوان کسی که 20 سال عمر را در آموزش و پرورش تلف کردم می‌گویم که آموزش و پرورش یک کابوس است. به آموزش و پرورش نیایید چه با دانشگاه فرهنگیان چه با هر روش دیگر.,1
سلام اینجوری نگین خواهشا الان همه کسایی که اینجا هست یعنی بیشتر اونایی که انسانی هستن ب عشق معلمی میان وقتی شما این حرف میزنین اونا هم نا امید میشن,0
بله من هم الان 10 سال هست که سابقه تدریس دارم متاسفانه اشتباه کردم و پشیمانم متاسفانه همه فکر می‌کنند چون تعطیلات زیاد هست دبیری خوبه ولی اصلا اینطوری نیست و تازه حقوق من شده 5میلیون تومان,0
دقیقا معلومه متقاضی فرهنگیانی و این حرفو واسه کاهش رقبات زدی,0
چه کابوسی! وقتی تعطیلات بدون تدریس حقوق میگیرین هم کابوسه؟,0
به شدت سخت بود,1
دوستان عمومی برای 1402 حذف میشه,1
به احتمال زیاد بله,0
اصلا سوال 244 غلطه,1
سلام من معدلم کمتر 14 است بنظرتون شرایطی هست که بتونم معدلمو ارتقا بدم برای علوم قضایی؟,1
سلام ، ممکنه از طریق ترمیم نمره بتونید این کار رو انجام بدید ... راجب ترمیم نمره تحقیق کن ...,0
بچه‌ها خودتونو درگیر حواشی نکنید؛سن‌ورود به فرهنگیان همون 24میمونه چون جزو مصوبات رسمی آموزش وپرورشه وتغییر نمیکنه؛اگرهم سنو به احتمال کم دوباره کاهش دادن،نگران نباشید؛مثل امسال اعتراض میکنیم و حقمونو میگیریم.پس برین باخیال راحت بخونین.,1
امیدوارم همین طور باشه. منم فقط چند ماه اضافه سنی دارم,0
سلام دوستان کسی کتاب‌های تست رشته‌ی انسانی رو داره ک نیاز نداشته باشه و بخواداهدا کنه ؟برا کسیه که نیاز داره،توان تهیه کردن نداره.ممنون,1
سلام . در سامانه‌ی گلستان فرهنگیان رمز ورود و کد امنیتی و همه چیز را درست میزنم ولی وارد نمی‌شود باید بنظرتون چیکار کنم ؟ شنبه هم که انگار کلاس‌ها شروع میشه و برنامم را نمی‌تونم نگاه کنم,1
باید منتظر بمونی هنوز وارد سیستم نشدیم,0
سلام من آموزش عربی مرکز امام خمینی سلماس قبول شدم از اونجا کسی هست آشنا بشیم؟,1
بله من هستم,0
ایا دوستانت با تراز زیر 7500قبول شدن فرهنگیان،؟، پسر,0
سلام باچه رتبه و ترازی و محل خدمت کجایی؟,0
